# ngal    M     phi    Err
   1 -24.62 1.96e-08 1.96e-08
   1 -24.38 4.63e-08 4.63e-08
   1 -23.88 8.69e-09 8.69e-09
   3 -23.62 4.17e-08 3.30e-08
  19 -23.38 1.02e-06 5.39e-07
  46 -23.12 1.85e-06 5.25e-07
 172 -22.88 4.33e-06 6.22e-07
 485 -22.62 1.89e-05 2.26e-06
1213 -22.38 6.02e-05 3.53e-06
2684 -22.12 1.65e-04 7.24e-06
4865 -21.88 3.36e-04 1.56e-05
8085 -21.62 6.75e-04 2.28e-05
11490 -21.38 1.19e-03 1.63e-05
14133 -21.12 1.82e-03 4.87e-05
16164 -20.88 2.63e-03 7.14e-05
17140 -20.62 3.51e-03 1.03e-04
16492 -20.38 4.37e-03 1.42e-04
14600 -20.12 5.27e-03 2.16e-04
12571 -19.88 6.37e-03 2.25e-04
11137 -19.62 7.25e-03 2.50e-04
9166 -19.38 7.73e-03 4.27e-04
7452 -19.12 8.52e-03 6.53e-04
5817 -18.88 8.94e-03 6.72e-04
4584 -18.62 9.85e-03 9.68e-04
3615 -18.38 1.09e-02 1.20e-03
2604 -18.12 1.18e-02 1.15e-03
1940 -17.88 1.25e-02 1.11e-03
1574 -17.62 1.49e-02 1.42e-03
1334 -17.38 1.72e-02 1.36e-03
 963 -17.12 1.80e-02 1.12e-03
 603 -16.88 1.88e-02 2.68e-03
 595 -16.62 2.21e-02 2.43e-03
 508 -16.38 2.84e-02 3.40e-03
 306 -16.12 2.65e-02 3.21e-03
 248 -15.88 2.91e-02 4.97e-03
 207 -15.62 3.70e-02 6.15e-03
 177 -15.38 3.75e-02 5.26e-03
 124 -15.12 3.38e-02 2.98e-03
 136 -14.88 4.97e-02 6.92e-03
  76 -14.62 4.19e-02 1.18e-02
  52 -14.38 5.72e-02 1.68e-02
  33 -14.12 4.70e-02 1.06e-02
  20 -13.88 4.27e-02 1.41e-02
  22 -13.62 5.77e-02 1.47e-02
  12 -13.38 7.16e-02 3.46e-02
  11 -13.12 4.85e-02 1.50e-02
  10 -12.88 8.34e-02 3.62e-02
  11 -12.62 1.65e-01 6.71e-02
   5 -12.38 7.04e-02 2.99e-02
   4 -12.12 7.81e-02 5.80e-02
