# z log_nh fraction_observed
0.000000000000000000e+00 2.000000000000000000e+01 1.000000000000000000e+00
0.000000000000000000e+00 2.050000000000000000e+01 9.959315472219415488e-01
0.000000000000000000e+00 2.100000000000000000e+01 9.833085552302843757e-01
0.000000000000000000e+00 2.150000000000000000e+01 9.456802201842794409e-01
0.000000000000000000e+00 2.200000000000000000e+01 8.458754004424333672e-01
0.000000000000000000e+00 2.250000000000000000e+01 6.605158042644069250e-01
0.000000000000000000e+00 2.300000000000000000e+01 4.120727262188320639e-01
0.000000000000000000e+00 2.350000000000000000e+01 1.723749088130114016e-01
0.000000000000000000e+00 2.400000000000000000e+01 3.663539850892231359e-02
0.000000000000000000e+00 2.450000000000000000e+01 1.910938241302197887e-02
0.000000000000000000e+00 2.500000000000000000e+01 1.884334444225920641e-02
0.000000000000000000e+00 2.550000000000000000e+01 1.884331859815008975e-02
0.000000000000000000e+00 2.600000000000000000e+01 1.884331859815008975e-02
5.000000000000000000e-01 2.000000000000000000e+01 1.108956350563353066e+00
5.000000000000000000e-01 2.050000000000000000e+01 1.105935927152525533e+00
5.000000000000000000e-01 2.100000000000000000e+01 1.096504452875531888e+00
5.000000000000000000e-01 2.150000000000000000e+01 1.067832507102135065e+00
5.000000000000000000e-01 2.200000000000000000e+01 9.873755509859027946e-01
5.000000000000000000e-01 2.250000000000000000e+01 8.207906579426702542e-01
5.000000000000000000e-01 2.300000000000000000e+01 5.537774103599156783e-01
5.000000000000000000e-01 2.350000000000000000e+01 2.678797853749054214e-01
5.000000000000000000e-01 2.400000000000000000e+01 6.995937060632188842e-02
5.000000000000000000e-01 2.450000000000000000e+01 2.991142501808421658e-02
5.000000000000000000e-01 2.500000000000000000e+01 2.925395683103488090e-02
5.000000000000000000e-01 2.550000000000000000e+01 2.925389608295424909e-02
5.000000000000000000e-01 2.600000000000000000e+01 2.925389608295424909e-02
1.000000000000000000e+00 2.000000000000000000e+01 1.238903480870640506e+00
1.000000000000000000e+00 2.050000000000000000e+01 1.236070082347604293e+00
1.000000000000000000e+00 2.100000000000000000e+01 1.227206172396593020e+00
1.000000000000000000e+00 2.150000000000000000e+01 1.200104851579452792e+00
