# z log_nh fraction_observed
0.000000000000000000e+00 2.000000000000000000e+01 6.388994348952801161e-01
0.000000000000000000e+00 2.050000000000000000e+01 5.662383160211222899e-01
0.000000000000000000e+00 2.100000000000000000e+01 4.117329486171463770e-01
0.000000000000000000e+00 2.150000000000000000e+01 2.146388934206550358e-01
0.000000000000000000e+00 2.200000000000000000e+01 7.135703566968612521e-02
0.000000000000000000e+00 2.250000000000000000e+01 1.752195161977028806e-02
0.000000000000000000e+00 2.300000000000000000e+01 1.354446648861790288e-02
0.000000000000000000e+00 2.350000000000000000e+01 1.353852640966827538e-02
0.000000000000000000e+00 2.400000000000000000e+01 1.353852635336877386e-02
0.000000000000000000e+00 2.450000000000000000e+01 1.353852635336877386e-02
0.000000000000000000e+00 2.500000000000000000e+01 1.353852635336877386e-02
0.000000000000000000e+00 2.550000000000000000e+01 1.353852635336877386e-02
0.000000000000000000e+00 2.600000000000000000e+01 1.353852635336877386e-02
5.000000000000000000e-01 2.000000000000000000e+01 6.819050665865576955e-01
5.000000000000000000e-01 2.050000000000000000e+01 6.254668893410638697e-01
5.000000000000000000e-01 2.100000000000000000e+01 4.931421321183788731e-01
5.000000000000000000e-01 2.150000000000000000e+01 2.923615528954463527e-01
5.000000000000000000e-01 2.200000000000000000e+01 1.196789182176810351e-01
5.000000000000000000e-01 2.250000000000000000e+01 3.387911587462911350e-02
5.000000000000000000e-01 2.300000000000000000e+01 2.110531173301297483e-02
5.000000000000000000e-01 2.350000000000000000e+01 2.101830657196643998e-02
5.000000000000000000e-01 2.400000000000000000e+01 2.101830635590217281e-02
5.000000000000000000e-01 2.450000000000000000e+01 2.101830635590217281e-02
5.000000000000000000e-01 2.500000000000000000e+01 2.101830635590217281e-02
5.000000000000000000e-01 2.550000000000000000e+01 2.101830635590217281e-02
5.000000000000000000e-01 2.600000000000000000e+01 2.101830635590217281e-02
1.000000000000000000e+00 2.000000000000000000e+01 7.143444128542132399e-01
1.000000000000000000e+00 2.050000000000000000e+01 6.635753914538842224e-01
1.000000000000000000e+00 2.100000000000000000e+01 5.396944751422761977e-01
1.000000000000000000e+00 2.150000000000000000e+01 3.363928000856825640e-01
1.000000000000000000e+00 2.200000000000000000e+01 1.492529315370419440e-01
1.000000000000000000e+00 2.250000000000000000e+01 4.807248635640348072e-02
1.000000000000000000e+00 2.300000000000000000e+01 2.896450351797829822e-02
1.000000000000000000e+00 2.350000000000000000e+01 2.873103506646328825e-02
1.000000000000000000e+00 2.400000000000000000e+01 2.873103381059511144e-02
1.000000000000000000e+00 2.450000000000000000e+01 2.873103381059511144e-02
1.000000000000000000e+00 2.500000000000000000e+01 2.873103381059511144e-02
1.000000000000000000e+00 2.550000000000000000e+01 2.873103381059511144e-02
1.000000000000000000e+00 2.600000000000000000e+01 2.873103381059511144e-02
1.500000000000000000e+00 2.000000000000000000e+01 7.444403793430098837e-01
1.500000000000000000e+00 2.050000000000000000e+01 6.956360371546178589e-01
1.500000000000000000e+00 2.100000000000000000e+01 5.743930524260780768e-01
1.500000000000000000e+00 2.150000000000000000e+01 3.678650261439070368e-01
1.500000000000000000e+00 2.200000000000000000e+01 1.707894412949162444e-01
1.500000000000000000e+00 2.250000000000000000e+01 6.007720459276185559e-02
1.500000000000000000e+00 2.300000000000000000e+01 3.702497086263199788e-02
1.500000000000000000e+00 2.350000000000000000e+01 3.666938121800344952e-02
1.500000000000000000e+00 2.400000000000000000e+01 3.666937781791926310e-02
1.500000000000000000e+00 2.450000000000000000e+01 3.666937781791926310e-02
1.500000000000000000e+00 2.500000000000000000e+01 3.666937781791926310e-02
1.500000000000000000e+00 2.550000000000000000e+01 3.666937781791926310e-02
1.500000000000000000e+00 2.600000000000000000e+01 3.666937781791926310e-02
2.000000000000000000e+00 2.000000000000000000e+01 7.751020944378970157e-01
2.000000000000000000e+00 2.050000000000000000e+01 7.267755167360117063e-01
2.000000000000000000e+00 2.100000000000000000e+01 6.055989236865523262e-01
2.000000000000000000e+00 2.150000000000000000e+01 3.949805899370790740e-01
2.000000000000000000e+00 2.200000000000000000e+01 1.893880541097598957e-01
2.000000000000000000e+00 2.250000000000000000e+01 7.116020285720321692e-02
2.000000000000000000e+00 2.300000000000000000e+01 4.527699196770631346e-02
2.000000000000000000e+00 2.350000000000000000e+01 4.482954438845430239e-02
2.000000000000000000e+00 2.400000000000000000e+01 4.482953860601242291e-02
2.000000000000000000e+00 2.450000000000000000e+01 4.482953860601242291e-02
2.000000000000000000e+00 2.500000000000000000e+01 4.482953860601242291e-02
2.000000000000000000e+00 2.550000000000000000e+01 4.482953860601242291e-02
2.000000000000000000e+00 2.600000000000000000e+01 4.482953860601242291e-02
2.500000000000000000e+00 2.000000000000000000e+01 8.076053637425979481e-01
2.500000000000000000e+00 2.050000000000000000e+01 7.590320931286550499e-01
2.500000000000000000e+00 2.100000000000000000e+01 6.365804559693520881e-01
2.500000000000000000e+00 2.150000000000000000e+01 4.210596178545743529e-01
2.500000000000000000e+00 2.200000000000000000e+01 2.071239302842741714e-01
2.500000000000000000e+00 2.250000000000000000e+01 8.195378978869666264e-02
2.500000000000000000e+00 2.300000000000000000e+01 5.374335794264466920e-02
2.500000000000000000e+00 2.350000000000000000e+01 5.322580614482403522e-02
2.500000000000000000e+00 2.400000000000000000e+01 5.322579829163612969e-02
2.500000000000000000e+00 2.450000000000000000e+01 5.322579829163612969e-02
2.500000000000000000e+00 2.500000000000000000e+01 5.322579829163612969e-02
2.500000000000000000e+00 2.550000000000000000e+01 5.322579829163612969e-02
2.500000000000000000e+00 2.600000000000000000e+01 5.322579829163612969e-02
3.000000000000000000e+00 2.000000000000000000e+01 8.354783460146421037e-01
3.000000000000000000e+00 2.050000000000000000e+01 7.863656868003514600e-01
3.000000000000000000e+00 2.100000000000000000e+01 6.621113920580243839e-01
3.000000000000000000e+00 2.150000000000000000e+01 4.416306404553944076e-01
3.000000000000000000e+00 2.200000000000000000e+01 2.206277874993848309e-01
3.000000000000000000e+00 2.250000000000000000e+01 9.108153980624072998e-02
3.000000000000000000e+00 2.300000000000000000e+01 6.230330738676945895e-02
3.000000000000000000e+00 2.350000000000000000e+01 6.180074112145668430e-02
3.000000000000000000e+00 2.400000000000000000e+01 6.180073439837006216e-02
3.000000000000000000e+00 2.450000000000000000e+01 6.180073439837006216e-02
3.000000000000000000e+00 2.500000000000000000e+01 6.180073439837006216e-02
3.000000000000000000e+00 2.550000000000000000e+01 6.180073439837006216e-02
3.000000000000000000e+00 2.600000000000000000e+01 6.180073439837006216e-02
3.500000000000000000e+00 2.000000000000000000e+01 8.620087549745563127e-01
3.500000000000000000e+00 2.050000000000000000e+01 8.122430139693992412e-01
3.500000000000000000e+00 2.100000000000000000e+01 6.860270114274974462e-01
3.500000000000000000e+00 2.150000000000000000e+01 4.607869491412824869e-01
