# z kT fraction_observed
0.000000000000000000e+00 5.000000000000000000e-01 1.000000000000000000e+00
5.000000000000000278e-02 5.000000000000000000e-01 1.016526499767348213e+00
1.000000000000000056e-01 5.000000000000000000e-01 1.029374958224279935e+00
1.500000000000000222e-01 5.000000000000000000e-01 1.050470877977074169e+00
2.000000000000000111e-01 5.000000000000000000e-01 1.066385630525509276e+00
2.500000000000000000e-01 5.000000000000000000e-01 1.077062921990237454e+00
3.000000000000000444e-01 5.000000000000000000e-01 1.089972912986048925e+00
3.500000000000000333e-01 5.000000000000000000e-01 1.181525417933094735e+00
4.000000000000000222e-01 5.000000000000000000e-01 1.196839462386568798e+00
4.500000000000000111e-01 5.000000000000000000e-01 1.226032504268693479e+00
5.000000000000000000e-01 5.000000000000000000e-01 1.605317225685350513e+00
5.500000000000000444e-01 5.000000000000000000e-01 1.723661204948524484e+00
6.000000000000000888e-01 5.000000000000000000e-01 1.844906363074369393e+00
6.500000000000000222e-01 5.000000000000000000e-01 2.068156063130780709e+00
8.000000000000000444e-01 5.000000000000000000e-01 3.492904956745379152e+00
9.000000000000000222e-01 5.000000000000000000e-01 4.211939710244126722e+00
1.000000000000000000e+00 5.000000000000000000e-01 4.647423358859300357e+00
1.100000000000000089e+00 5.000000000000000000e-01 6.275570796325081524e+00
1.199999999999999956e+00 5.000000000000000000e-01 7.158654387396260255e+00
1.399999999999999911e+00 5.000000000000000000e-01 9.875620235230549326e+00
1.600000000000000089e+00 5.000000000000000000e-01 1.200730827900432374e+01
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000278e-02 1.000000000000000000e+00 1.000899958539313461e+00
1.000000000000000056e-01 1.000000000000000000e+00 1.005513138841074294e+00
1.500000000000000222e-01 1.000000000000000000e+00 1.012392048982722725e+00
2.000000000000000111e-01 1.000000000000000000e+00 1.018375173616454799e+00
2.500000000000000000e-01 1.000000000000000000e+00 1.017966812862851400e+00
3.000000000000000444e-01 1.000000000000000000e+00 1.025200039723006773e+00
3.500000000000000333e-01 1.000000000000000000e+00 1.052725388141228180e+00
4.000000000000000222e-01 1.000000000000000000e+00 1.061011968978567310e+00
4.500000000000000111e-01 1.000000000000000000e+00 1.073245693558295466e+00
5.000000000000000000e-01 1.000000000000000000e+00 1.103741736961924680e+00
5.500000000000000444e-01 1.000000000000000000e+00 1.139748308779086061e+00
6.000000000000000888e-01 1.000000000000000000e+00 1.167438911705773963e+00
6.500000000000000222e-01 1.000000000000000000e+00 1.204336173836151325e+00
8.000000000000000444e-01 1.000000000000000000e+00 1.418313422877138796e+00
9.000000000000000222e-01 1.000000000000000000e+00 1.640856137895878808e+00
1.000000000000000000e+00 1.000000000000000000e+00 1.945714488628034644e+00
1.100000000000000089e+00 1.000000000000000000e+00 2.337479860171140178e+00
1.199999999999999956e+00 1.000000000000000000e+00 2.695791704252643584e+00
1.399999999999999911e+00 1.000000000000000000e+00 3.185405296594568281e+00
1.600000000000000089e+00 1.000000000000000000e+00 3.603790008440193482e+00
0.000000000000000000e+00 1.500000000000000000e+00 1.000000000000000000e+00
5.000000000000000278e-02 1.500000000000000000e+00 9.903792753897906476e-01
1.000000000000000056e-01 1.500000000000000000e+00 9.906152959982308381e-01
1.500000000000000222e-01 1.500000000000000000e+00 9.930216940772570444e-01
2.000000000000000111e-01 1.500000000000000000e+00 9.939808078944712966e-01
2.500000000000000000e-01 1.500000000000000000e+00 9.880331900534099487e-01
3.000000000000000444e-01 1.500000000000000000e+00 9.916113081694736264e-01
3.500000000000000333e-01 1.500000000000000000e+00 1.006714718273035380e+00
4.000000000000000222e-01 1.500000000000000000e+00 1.011059796622890694e+00
4.500000000000000111e-01 1.500000000000000000e+00 1.015834006203554685e+00
5.000000000000000000e-01 1.500000000000000000e+00 1.022248908053302374e+00
5.500000000000000444e-01 1.500000000000000000e+00 1.031007835676304607e+00
6.000000000000000888e-01 1.500000000000000000e+00 1.036394760857548558e+00
6.500000000000000222e-01 1.500000000000000000e+00 1.045949932730882104e+00
8.000000000000000444e-01 1.500000000000000000e+00 1.083549621498201887e+00
9.000000000000000222e-01 1.500000000000000000e+00 1.124211408427502779e+00
1.000000000000000000e+00 1.500000000000000000e+00 1.182439408095121047e+00
1.100000000000000089e+00 1.500000000000000000e+00 1.287551759184702327e+00
1.199999999999999956e+00 1.500000000000000000e+00 1.419177317107365388e+00
1.399999999999999911e+00 1.500000000000000000e+00 1.616319998106662492e+00
1.600000000000000089e+00 1.500000000000000000e+00 1.728341394102352879e+00
0.000000000000000000e+00 2.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000278e-02 2.000000000000000000e+00 9.845317266144254509e-01
1.000000000000000056e-01 2.000000000000000000e+00 9.795518170488848320e-01
1.500000000000000222e-01 2.000000000000000000e+00 9.764456878452816291e-01
2.000000000000000111e-01 2.000000000000000000e+00 9.719457461178134805e-01
2.500000000000000000e-01 2.000000000000000000e+00 9.641360592313293898e-01
3.000000000000000444e-01 2.000000000000000000e+00 9.628265730828556856e-01
3.500000000000000333e-01 2.000000000000000000e+00 9.671896118189233782e-01
4.000000000000000222e-01 2.000000000000000000e+00 9.671186641072820889e-01
4.500000000000000111e-01 2.000000000000000000e+00 9.676668062767038725e-01
5.000000000000000000e-01 2.000000000000000000e+00 9.691285899362582779e-01
5.500000000000000444e-01 2.000000000000000000e+00 9.721829754578424909e-01
6.000000000000000888e-01 2.000000000000000000e+00 9.722094226417549168e-01
6.500000000000000222e-01 2.000000000000000000e+00 9.760717116314266972e-01
8.000000000000000444e-01 2.000000000000000000e+00 9.891758787104849571e-01
9.000000000000000222e-01 2.000000000000000000e+00 1.003029200620981554e+00
1.000000000000000000e+00 2.000000000000000000e+00 1.019386814666190855e+00
1.100000000000000089e+00 2.000000000000000000e+00 1.055435082451301021e+00
1.199999999999999956e+00 2.000000000000000000e+00 1.104970395361582591e+00
1.399999999999999911e+00 2.000000000000000000e+00 1.206937503812052892e+00
1.600000000000000089e+00 2.000000000000000000e+00 1.259782763872651756e+00
