# logNH    factor 
       20.000000       1.0288175
       20.030000       1.0308855
       20.060000       1.0331024
       20.090000       1.0354790
       20.120000       1.0380269
       20.150000       1.0407584
       20.180000       1.0436871
       20.210000       1.0468271
       20.240000       1.0501940
       20.270000       1.0538041
       20.300000       1.0576753
       20.330000       1.0618266
       20.360000       1.0662786
       20.390000       1.0710531
       20.420000       1.0761739
       20.450000       1.0816663
       20.480000       1.0875577
       20.510000       1.0938773
       20.540000       1.1006568
       20.570000       1.1079299
       20.600000       1.1157332
       20.630000       1.1241059
       20.660000       1.1330899
       20.690000       1.1427306
       20.720000       1.1530767
       20.750000       1.1641805
       20.780000       1.1760983
       20.810000       1.1888905
       20.840000       1.2026222
       20.870000       1.2173632
       20.900000       1.2331887
       20.930000       1.2501795
       20.960000       1.2684221
       20.990000       1.2880098
       21.020000       1.3090427
       21.050000       1.3316284
       21.080000       1.3558822
       21.110000       1.3819284
       21.140000       1.4099000
       21.170000       1.4399403
       21.200000       1.4722030
       21.230000       1.5068539
       21.260000       1.5440708
       21.290000       1.5840458
       21.320000       1.6269860
       21.350000       1.6731156
       21.380000       1.7226770
       21.410000       1.7759343
       21.440000       1.8331754
       21.470000       1.8947151
       21.500000       1.9609000
       21.530000       2.0321120
       21.560000       2.1087753
       21.590000       2.1913628
       21.620000       2.2804046
       21.650000       2.3764959
       21.680000       2.4803112
       21.710000       2.5926155
       21.740000       2.7142814
       21.770000       2.8463055
       21.800000       2.9898329
       21.830000       3.1461813
       21.860000       3.3168724
       21.890000       3.5036660
       21.920000       3.7086072
       21.950000       3.9340768
       21.980000       4.1828558
       22.010000       4.4582043
       22.040000       4.7639530
       22.070000       5.1046275
       22.100000       5.4855899
       22.130000       5.9132225
       22.160000       6.3951547
       22.190000       6.9405549
       22.220000       7.5604755
       22.250000       8.2683405
       22.280000       9.0805210
       22.310000       10.017104
       22.340000       11.102884
       22.370000       12.368665
       22.400000       13.852974
       22.430000       15.604343
       22.460000       17.684387
       22.490000       20.171875
       22.520000       23.168479
       22.550000       26.806498
       22.580000       31.259719
       22.610000       36.758657
       22.640000       43.612246
       22.670000       52.239017
       22.700000       63.212601
       22.730000       77.328309
       22.760000       95.703666
       22.790000       119.92968
       22.820000       152.30405
       22.850000       196.19540
       22.880000       256.62175
       22.910000       341.18530
       22.940000       461.61119
       22.970000       636.33134
       23.000000       894.90178
