# log_nh fraction_observed
1.900000000000000000e+01 9.970656705095589656e-01
1.900999999999999801e+01 9.969975381203899367e-01
1.901999999999999957e+01 9.969278288795154763e-01
1.903000000000000114e+01 9.968565065311646434e-01
1.903999999999999915e+01 9.967835339970571029e-01
1.904999999999999716e+01 9.967088733582435411e-01
1.905999999999999872e+01 9.966324858366069073e-01
1.907000000000000028e+01 9.965543317759388842e-01
1.907999999999999829e+01 9.964743706226508735e-01
1.908999999999999631e+01 9.963925609060819699e-01
1.909999999999999787e+01 9.963088602183969300e-01
1.910999999999999943e+01 9.962232251940892347e-01
1.911999999999999744e+01 9.961356114890449476e-01
1.912999999999999545e+01 9.960459737592025631e-01
1.913999999999999702e+01 9.959542656387575521e-01
1.914999999999999858e+01 9.958604397179647849e-01
1.915999999999999659e+01 9.957644475204470158e-01
1.916999999999999460e+01 9.956662394800906979e-01
1.917999999999999616e+01 9.955657649174461943e-01
1.918999999999999773e+01 9.954629720157071038e-01
1.919999999999999574e+01 9.953578077961555692e-01
1.920999999999999375e+01 9.952502180931634967e-01
1.921999999999999531e+01 9.951401475287063869e-01
1.922999999999999687e+01 9.950275394863443701e-01
1.923999999999999488e+01 9.949123360847373920e-01
1.924999999999999289e+01 9.947944781506259382e-01
1.925999999999999446e+01 9.946739051912943941e-01
1.926999999999999602e+01 9.945505553665174858e-01
1.927999999999999403e+01 9.944243654599531634e-01
1.928999999999999204e+01 9.942952708500153447e-01
1.929999999999999361e+01 9.941632054801780027e-01
1.930999999999999517e+01 9.940281018287452364e-01
1.931999999999999318e+01 9.938898908780275931e-01
1.932999999999999119e+01 9.937485020829803783e-01
1.933999999999999275e+01 9.936038633392371144e-01
1.934999999999999432e+01 9.934559009505765648e-01
1.935999999999999233e+01 9.933045395957976753e-01
1.936999999999999034e+01 9.931497022949757891e-01
1.937999999999999190e+01 9.929913103751518699e-01
1.938999999999999346e+01 9.928292834353632523e-01
1.939999999999999147e+01 9.926635393111066241e-01
1.940999999999998948e+01 9.924939940381413139e-01
